ID, CALC,ORDER,NAME, NR_UP,NR_DOWN,TO_ID_1,To_frac_1,To_ID_2,to_frac_2,TO_ID_3,TO_frac_3,To_ID_4,To_frac_4,To_ID_5,To_frac_5,To_ID_6,To_frac_6,To_ID_7,To_frac_7,To_ID_8,To_frac_8,To_ID_9,To_frac_9,
1,N,737,1,2,2,1,0.987263554,457,0.012736446, ,,,,,,,,,,,,,,
2,N,643,2,0,2,2,0.289507091,4,0.710492909, ,,,,,,,,,,,,,,
3,N,702,3,0,5,3,0.140853629,5,0.714997013,10,0.025712915,13,0.116183995,458,0.002252447, ,,,,,,,,
4,N,644,4,1,4,4,0.935156755,450,0.008546301,452,0.04238254,462,0.013914405, ,,,,,,,,,,
5,N,704,5,2,3,1,0.036813767,5,0.842077115,13,0.121109118, ,,,,,,,,,,,,
6,N,387,6,0,1,6,1, ,,,,,,,,,,,,,,,,
7,N,388,7,0,2,5,0.003990804,7,0.996009196, ,,,,,,,,,,,,,,
8,N,389,8,0,1,8,1, ,,,,,,,,,,,,,,,,
9,N,735,9,0,5,1,0.474348169,2,0.055151987,4,0.008340734,9,0.390410516,457,0.071748593, ,,,,,,,,
10,N,390,10,0,1,10,1, ,,,,,,,,,,,,,,,,
11,N,736,11,0,3,1,0.916063912,12,0.052123174,460,0.031812914, ,,,,,,,,,,,,
12,N,703,12,0,4,1,0.142313645,3,0.058118208,5,0.740990468,12,0.058577679, ,,,,,,,,,,
13,N,391,13,0,2,13,0.989125548,854,0.010874452, ,,,,,,,,,,,,,,
14,N,862,14,0,4,14,0.054375683,16,0.800701597,18,0.013934518,1224,0.130988201, ,,,,,,,,,,
15,N,865,15,3,2,15,0.958645298,31,0.041354702, ,,,,,,,,,,,,,,
16,N,864,16,1,2,15,0.999997931,17,2.07E-06, ,,,,,,,,,,,,,,
17,N,863,17,0,3,15,0.979998208,24,0.01997612,1313,2.57E-05, ,,,,,,,,,,,,
18,N,392,18,0,3,15,0.160818424,16,0.109813719,18,0.729367858, ,,,,,,,,,,,,
19,N,393,19,0,2,19,0.991071066,1578,0.008928934, ,,,,,,,,,,,,,,
20,N,836,20,0,2,20,0.30700662,28,0.69299338, ,,,,,,,,,,,,,,
21,N,394,21,0,3,20,0.353401995,21,0.558933526,23,0.087664478, ,,,,,,,,,,,,
22,N,835,22,1,5,19,0.011841864,20,0.265797318,21,0.071700367,23,0.003298324,28,0.647362126, ,,,,,,,,
23,N,395,23,0,4,19,0.020272837,23,0.921126268,1581,0.005352284,1583,0.053248611, ,,,,,,,,,,
24,N,396,24,0,2,24,0.997774006,1317,0.002225994, ,,,,,,,,,,,,,,
25,N,832,25,1,3,25,0.010103146,31,0.97448078,1226,0.015416074, ,,,,,,,,,,,,
26,N,397,26,0,1,26,1, ,,,,,,,,,,,,,,,,
27,N,398,27,0,1,27,1, ,,,,,,,,,,,,,,,,
28,N,837,28,3,2,28,0.716784206,31,0.283215794, ,,,,,,,,,,,,,,
29,N,831,29,0,5,18,0.31128751,25,0.007269487,29,0.23729853,31,0.444012438,1226,0.000132035, ,,,,,,,,
30,N,830,30,0,2,25,0.949141163,33,0.050858837, ,,,,,,,,,,,,,,
31,N,833,31,3,2,18,0.007606479,31,0.992393521, ,,,,,,,,,,,,,,
32,N,834,32,0,4,22,0.674294679,25,0.04872425,28,0.10333823,31,0.173642841, ,,,,,,,,,,
33,N,399,33,0,4,25,0.443772788,33,0.536683661,445,0.000504754,1226,0.019038798, ,,,,,,,,,,
34,N,1599,34,0,4,34,0.079380911,35,0.437361904,36,0.483170884,800,8.63E-05, ,,,,,,,,,,
35,N,1601,35,14,2,36,0.999440651,1595,0.000559349, ,,,,,,,,,,,,,,
36,N,1602,36,39,2,36,0.999080576,1581,0.000919424, ,,,,,,,,,,,,,,
37,N,1595,37,0,1,38,1, ,,,,,,,,,,,,,,,,
38,N,1597,38,2,2,35,0.999897661,1596,0.000102339, ,,,,,,,,,,,,,,
39,N,1592,39,0,3,38,0.698824655,804,0.286245713,1596,0.014929632, ,,,,,,,,,,,,
40,N,400,40,0,3,40,0.979135729,48,0.020602664,74,0.000261606, ,,,,,,,,,,,,
41,N,861,41,3,3,40,0.021147274,41,0.968439633,84,0.010413093, ,,,,,,,,,,,,
42,N,401,42,0,6,40,0.147580736,41,0.065105085,42,0.448036392,44,0.338183456,859,8.32E-06,872,0.001086013, ,,,,,,
43,N,386,43,0,3,43,0.94776545,83,0.052221271,858,1.33E-05, ,,,,,,,,,,,,
44,N,385,44,0,6,40,0.016848776,43,0.370309174,44,0.402818379,46,0.206954629,47,0.000740292,859,0.00232875, ,,,,,,
45,N,384,45,0,6,45,0.720373675,46,0.203125528,61,0.005141069,63,0.071151055,65,0.000100034,765,0.000108639, ,,,,,,
46,N,375,46,0,3,43,0.26902397,46,0.729928105,62,0.001047924, ,,,,,,,,,,,,
47,N,369,47,0,5,40,0.188439744,44,9.15E-05,45,0.038492886,46,0.117229817,47,0.655746084, ,,,,,,,,
48,N,370,48,0,3,41,0.011808019,48,0.986278455,84,0.001913526, ,,,,,,,,,,,,
49,N,982,49,0,2,81,0.999278169,773,0.000721831, ,,,,,,,,,,,,,,
50,N,983,50,0,2,50,0.364511242,82,0.635488758, ,,,,,,,,,,,,,,
51,N,700,51,0,3,51,0.001205919,59,0.288510069,65,0.710284012, ,,,,,,,,,,,,
52,N,984,52,0,4,49,0.023668461,81,0.122721444,82,0.847952689,774,0.005657406, ,,,,,,,,,,
53,N,371,53,0,3,53,0.748099238,54,0.023256922,55,0.22864384, ,,,,,,,,,,,,
54,N,670,54,1,4,54,0.894750759,55,0.081941069,59,0.022156376,993,0.001151795, ,,,,,,,,,,
55,N,372,55,0,6,55,0.839572214,57,0.13349105,59,0.005912659,861,0.009749115,992,0.008780479,994,0.002494482, ,,,,,,
56,N,656,56,1,2,56,0.997429869,59,0.002570131, ,,,,,,,,,,,,,,
57,N,373,57,0,2,57,0.894377985,60,0.105622015, ,,,,,,,,,,,,,,
58,N,374,58,0,3,56,0.18874781,58,0.807844361,865,0.003407829, ,,,,,,,,,,,,
59,N,661,59,0,5,57,0.307489945,58,0.002786007,59,0.17177756,60,0.50936501,82,0.008581478, ,,,,,,,,
60,N,662,60,1,3,56,0.358704999,60,0.636259206,866,0.005035795, ,,,,,,,,,,,,
61,N,376,61,0,3,58,0.013155585,61,0.906295305,64,0.080549111, ,,,,,,,,,,,,
62,N,383,62,0,5,45,0.033927412,61,0.043348121,62,0.656955234,83,0.264337379,870,0.001431854, ,,,,,,,,
63,N,377,63,0,3,61,0.200314049,63,0.780713271,65,0.018972681, ,,,,,,,,,,,,
64,N,378,64,0,3,62,0.374941932,64,0.559081367,868,0.065976701, ,,,,,,,,,,,,
65,N,701,65,2,6,45,0.000172111,58,0.056805101,59,0.256505678,61,0.056208828,65,0.625331562,780,0.00497672, ,,,,,,
66,N,655,66,0,3,56,0.879642098,58,0.109865008,869,0.010492895, ,,,,,,,,,,,,
67,N,693,67,0,4,67,0.129058017,68,0.003167296,70,0.838730432,969,0.029044254, ,,,,,,,,,,
68,N,379,68,0,5,40,0.035000517,67,0.00034739,68,0.768268551,70,0.169422472,970,0.026961069, ,,,,,,,,
69,N,555,69,0,3,69,0.001438471,72,0.998462193,1302,9.93E-05, ,,,,,,,,,,,,
70,N,694,70,1,4,40,0.032581403,70,0.948804626,74,0.002449204,975,0.016164767, ,,,,,,,,,,
71,N,380,71,0,5,70,0.017710415,71,0.835158346,72,0.064672925,74,0.071151414,85,0.011306901, ,,,,,,,,
72,N,556,72,1,3,70,0.449889866,72,0.546478418,975,0.003631716, ,,,,,,,,,,,,
73,N,381,73,0,5,71,0.232613176,72,0.190761708,73,0.526322056,1304,0.006714111,1306,0.043588949, ,,,,,,,,
74,N,522,74,1,5,48,0.118764534,74,0.865325902,88,3.46E-05,90,0.002772755,91,0.013102198, ,,,,,,,,
