int,frac,frac,frac,frac,frac,frac,frac,frac,frac,frac,frac,frac,frac,frac,km2,m,frac,frac,MCM,MCM,1-100,1-100,1-100,1-100,1-100,frac,frac,frac,Frac,frac,frac,fact,fact
WatProvID,RES_INIT,GWT_INIT,GWT_RECH,INFORMAL,RES_FLO,RES_MAX,GWT_MAX,ENV_FRAC,DOM_CONS_F,DOM_REU,IRR_REU,IND_CONS_F,IND_REU,ENV_USE,AREA_WP,HP_ELV,HP_FAC,HP_EFF,RES_extra,DESAL,DOM_PRI,IND_PRI,IRR_PRI,ENV_PRI,DWN_PRI,IRR_CONS_F,URB_DEM,IND_DEM,IRR_AREA,Ext_User,DWN_DEM,Calibration,IRR_COR
1,0.8,0.7,1,0,0.2775,0.1,2,0.2,0.8,0.5,0.6,0.8,0.5,0,28804.7,50,1,0.75,1000,0,99,99,99,99,99,0.898,1,1,0.924276169,0,0,1.02,2
2,0.8,0.7,1,0,0.2228,0.1,2,0.2,0.8,0.5,0.6,0.8,0.5,0,13369.6,50,1,0.75,1000,-999,99,99,99,99,99,0.892,1,1,0.919282511,0,0,1.02,2
3,0.8,0.7,1,0,0.1904,0.1,2,0.2,0.8,0.5,0.6,0.8,0.5,0,63900.5,50,1,0.75,1000,0,99,99,99,99,99,0.832,1,1,0.865384615,0,0,1.02,1.277379585
4,0.8,0.7,1,0,0.0905,0.1,2,0.2,0.8,0.5,0.6,0.8,0.5,0,24362.1,50,1,0.75,1000,0,99,99,99,99,99,0.952,1,1,0.966386555,0,0,1.02,2
5,0.8,0.7,1,0,0.1718,0.1,2,0.2,0.8,0.5,0.6,0.8,0.5,0,114679,50,1,0.75,1000,2.5,99,99,99,99,99,0.964,1,1,0.975103734,0,0,1.02,1.219141335
6,0.8,0.7,1,0,0.0165,0.1,2,0.2,0.8,0.5,0.6,0.8,0.5,0,8351.1,50,1,0.75,1000,2.5,99,99,99,99,99,0.97,1,1,0.979381443,0,0,1.02,1.31595793
7,0.8,0.7,1,0,0,0.1,2,0.2,0.8,0.5,0.6,0.8,0.5,0,5258.5,50,1,0.75,1000,2.5,99,99,99,99,99,0.97,1,1,0.979381443,0,0,1.02,1.215441438
8,0.8,0.7,1,0,0,0.1,2,0.2,0.8,0.5,0.6,0.8,0.5,0,3865.68,50,1,0.75,1000,2.5,99,99,99,99,99,0.97,1,1,0.979381443,0,0,1.02,1.26482569
9,0.8,0.7,1,0,0.0066,0.1,2,0.2,0.8,0.5,0.6,0.8,0.5,0,6914.85,50,1,0.75,1000,0,99,99,99,99,99,0.838,1,1,0.871121718,0,0,1.02,2
10,0.8,0.7,1,0,0,0.1,2,0.2,0.8,0.5,0.6,0.8,0.5,0,5621.76,50,1,0.75,1000,0,99,99,99,99,99,0.97,1,1,0.979381443,0,0,1.02,1.124920401
11,0.8,0.7,1,0,0.2,0.1,2,0.2,0.8,0.5,0.6,0.8,0.5,0,5365.77,50,1,0.75,1000,-999,99,99,99,99,99,0.838,1,1,0.871121718,0,0,1.02,1.855878935
12,0.8,0.7,1,0,0.3184,0.1,2,0.2,0.8,0.5,0.6,0.8,0.5,0,25458.9,50,1,0.75,1000,-999,99,99,99,99,99,0.958,1,1,0.970772443,0,0,1.02,1.293836672
13,0.8,0.7,1,0,0.0367,0.1,2,0.2,0.8,0.5,0.6,0.8,0.5,0,23641.6,50,1,0.75,1000,0.05,99,99,99,99,99,0.826,1,1,0.859564165,0,0,1.02,1.146431959
14,0.8,0.7,1,0,0.0298,0.1,2,0.2,0.8,0.5,0.6,0.8,0.5,0,13931.5,50,1,0.75,1000,-999,99,99,99,99,99,0.82,1,1,0.853658537,0,0,1.02,1.061980977
15,0.8,0.7,1,0,0,0.1,2,0.2,0.8,0.5,0.6,0.8,0.5,0,83147.1,50,1,0.75,1000,0,99,99,99,99,99,0.826,1,1,0.859564165,0,0,1.02,1.004900276
16,0.8,0.7,1,0,0.4229,0.1,2,0.2,0.8,0.5,0.6,0.8,0.5,0,56877.7,50,1,0.75,1000,-999,99,99,99,99,99,0.82,1,1,0.853658537,0,0,1.02,1.004332251
17,0.8,0.7,1,0,0,0.1,2,0.2,0.8,0.5,0.6,0.8,0.5,0,31577.9,50,1,0.75,1000,-999,99,99,99,99,99,0.82,1,1,0.853658537,0,0,1.02,1.00089319
18,0.8,0.7,1,0,0,0.1,2,0.2,0.8,0.5,0.6,0.8,0.5,0,13989.7,50,1,0.75,1000,-999,99,99,99,99,99,0.826,1,1,0.859564165,0,0,1.02,1.010790952
19,0.8,0.7,1,0,0,0.1,2,0.2,0.8,0.5,0.6,0.8,0.5,0,8198.5,50,1,0.75,1000,-999,99,99,99,99,99,0.97,1,1,0.979381443,0,0,1.02,1.268562704
20,0.8,0.7,1,0,0.0222,0.1,2,0.2,0.8,0.5,0.6,0.8,0.5,0,78943.3,50,1,0.75,1000,0,99,99,99,99,99,0.892,1,1,0.919282511,0,0,1.02,1.120863473
21,0.8,0.7,1,0,0.2,0.1,2,0.2,0.8,0.5,0.6,0.8,0.5,0,78569.5,50,1,0.75,1000,0,99,99,99,99,99,0.892,1,1,0.919282511,0,0,1.02,1.129127268
22,0.8,0.7,1,0,0,0.1,2,0.2,0.8,0.5,0.6,0.8,0.5,0,115437,50,1,0.75,1000,-999,99,99,99,99,99,0.898,1,1,0.924276169,0,0,1.02,1.218304982
23,0.8,0.7,1,0,0,0.1,2,0.2,0.8,0.5,0.6,0.8,0.5,0,93721.3,50,1,0.75,1000,0,99,99,99,99,99,0.898,1,1,0.924276169,0,0,1.02,1.176633421
24,0.8,0.7,1,0,0,0.1,2,0.2,0.8,0.5,0.6,0.8,0.5,0,17777.1,50,1,0.75,1000,0.011111111,99,99,99,99,99,0.82,1,1,0.853658537,0,0,1.02,1.000970058
25,0.8,0.7,1,0,0.2,0.1,2,0.2,0.8,0.5,0.6,0.8,0.5,0,88460.9,50,1,0.75,1000,-999,99,99,99,99,99,0.892,1,1,0.919282511,0,0,1.02,1.074113228
26,0.8,0.7,1,0,0,0.1,2,0.2,0.8,0.5,0.6,0.8,0.5,0,1034.07,50,1,0.75,1000,0,99,99,99,99,99,0.892,1,1,0.919282511,0,0,1.02,1.210831041
27,0.8,0.7,1,0,0,0.1,2,0.2,0.8,0.5,0.6,0.8,0.5,0,1623.46,50,1,0.75,1000,0,99,99,99,99,99,0.892,1,1,0.919282511,0,0,1.02,1.710615111
28,0.8,0.7,1,0,0,0.1,2,0.2,0.8,0.5,0.6,0.8,0.5,0,85004.1,50,1,0.75,1000,0,99,99,99,99,99,0.892,1,1,0.919282511,0,0,1.02,1.053390412
29,0.8,0.7,1,0,0,0.1,2,0.2,0.8,0.5,0.6,0.8,0.5,0,36772.8,50,1,0.75,1000,-999,99,99,99,99,99,0.892,1,1,0.919282511,0,0,1.02,1.034185625
30,0.8,0.7,1,0,0,0.1,2,0.2,0.8,0.5,0.6,0.8,0.5,0,17342.4,50,1,0.75,1000,-999,99,99,99,99,99,0.892,1,1,0.919282511,0,0,1.02,1.085171582
31,0.8,0.7,1,0,0.1917,0.1,2,0.2,0.8,0.5,0.6,0.8,0.5,0,146718,50,1,0.75,1000,0,99,99,99,99,99,0.892,1,1,0.919282511,0,0,1.02,1.132465182
32,0.8,0.7,1,0,0,0.1,2,0.2,0.8,0.5,0.6,0.8,0.5,0,50523.6,50,1,0.75,1000,-999,99,99,99,99,99,0.892,1,1,0.919282511,0,0,1.02,1.21186879
33,0.8,0.7,1,0,0,0.1,2,0.2,0.8,0.5,0.6,0.8,0.5,0,30135.1,50,1,0.75,1000,-999,99,99,99,99,99,0.892,1,1,0.919282511,0,0,1.02,1.012347773
34,0.8,0.7,1,0,0,0.1,2,0.2,0.8,0.5,0.6,0.8,0.5,0,51184,50,1,0.75,1000,0,99,99,99,99,99,0.892,1,1,0.919282511,0,0,1.02,1.046961604
35,0.8,0.7,1,0,0.0576,0.1,2,0.2,0.8,0.5,0.6,0.8,0.5,0,45969.8,50,1,0.75,1000,-999,99,99,99,99,99,0.892,1,1,0.919282511,0,0,1.02,1.371953328
36,0.8,0.7,1,0,0.2,0.1,2,0.2,0.8,0.5,0.6,0.8,0.5,0,51667.4,50,1,0.75,1000,0,99,99,99,99,99,0.892,1,1,0.919282511,0,0,1.02,1.184280167
37,0.8,0.7,1,0,0.0246,0.1,2,0.2,0.8,0.5,0.6,0.8,0.5,0,8110.88,50,1,0.75,1000,-999,99,99,99,99,99,0.892,1,1,0.919282511,0,0,1.02,1.14739013
38,0.8,0.7,1,0,0.1944,0.1,2,0.2,0.8,0.5,0.6,0.8,0.5,0,69138.3,50,1,0.75,1000,-999,99,99,99,99,99,0.892,1,1,0.919282511,0,0,1.02,1.124985974
39,0.8,0.7,1,0,0.3047,0.1,2,0.2,0.8,0.5,0.6,0.8,0.5,0,14469.3,50,1,0.75,1000,-999,99,99,99,99,99,0.892,1,1,0.919282511,0,0,1.02,1.057649203
40,0.8,0.7,1,0,0,0.1,2,0.2,0.8,0.5,0.6,0.8,0.5,0,455775,50,1,0.75,1000,-999,99,99,99,99,99,0.892,1,1,0.919282511,0,0,1.02,1.000352014
