int,frac,frac,frac,frac,frac,frac,frac,frac,frac,frac,frac,frac,frac,frac,km2,m,frac,frac,MCM,MCM,1-100,1-100,1-100,1-100,1-100,frac,frac,frac,Frac,frac,frac,fact,fact
WatProvID,RES_INIT,GWT_INIT,GWT_RECH,INFORMAL,RES_FLO,RES_MAX,GWT_MAX,ENV_FRAC,DOM_CONS_F,DOM_REU,IRR_REU,IND_CONS_F,IND_REU,ENV_USE,AREA_WP,HP_ELV,HP_FAC,HP_EFF,RES_extra,DESAL,DOM_PRI,IND_PRI,IRR_PRI,ENV_PRI,DWN_PRI,IRR_CONS_F,URB_DEM,IND_DEM,IRR_AREA,Ext_User,DWN_DEM,Calibration,IRR_COR
1,0.8,0.7,0.05,0,0.2775,0.1,0.05,0.2,0.8,0.5,0.2,0.8,0.5,0,28804.7,50,1,0.75,0,0,99,99,99,99,99,0.83,1,1,1,0,0,1.02,1.90544
2,0.8,0.7,0.05,0,0.2228,0.1,0.05,0.2,0.8,0.5,0.2,0.8,0.5,0,13369.6,50,1,0.75,0,-999,99,99,99,99,99,0.82,1,1,1,0,0,1.02,8.3079225
3,0.8,0.7,0.05,0,0.1904,0.1,0.05,0.2,0.8,0.5,0.2,0.8,0.5,0,63900.5,50,1,0.75,0,0,99,99,99,99,99,0.72,1,1,1,0,0,1.02,2.3509175
4,0.8,0.7,0.05,0,0.0905,0.1,0.05,0.2,0.8,0.5,0.2,0.8,0.5,0,24362.1,50,1,0.75,0,0,99,99,99,99,99,0.92,1,1,1,0,0,1.02,2.1986925
5,0.8,0.7,0.05,0,0.1718,0.1,0.05,0.2,0.8,0.5,0.2,0.8,0.5,0,114679,50,1,0.75,0,0,99,99,99,99,99,0.94,1,1,1,0,0,1.02,1.794105
6,0.8,0.7,0.05,0,0.0165,0.1,0.05,0.2,0.8,0.5,0.2,0.8,0.5,0,8351.1,50,1,0.75,0,0,99,99,99,99,99,0.95,1,1,1,0,0,1.02,3.7579375
7,0.8,0.7,0.05,0,0,0.1,0.05,0.2,0.8,0.5,0.2,0.8,0.5,0,5258.5,50,1,0.75,0,0,99,99,99,99,99,0.95,1,1,1,0,0,1.02,0
8,0.8,0.7,0.05,0,0,0.1,0.05,0.2,0.8,0.5,0.2,0.8,0.5,0,3865.68,50,1,0.75,0,0,99,99,99,99,99,0.95,1,1,1,0,0,1.02,0.474152
9,0.8,0.7,0.05,0,0.0066,0.1,0.05,0.2,0.8,0.5,0.2,0.8,0.5,0,6914.85,50,1,0.75,0,0,99,99,99,99,99,0.73,1,1,1,0,0,1.02,0.61971725
10,0.8,0.7,0.05,0,0,0.1,0.05,0.2,0.8,0.5,0.2,0.8,0.5,0,5621.76,50,1,0.75,0,0,99,99,99,99,99,0.95,1,1,1,0,0,1.02,2.706405
11,0.8,0.7,0.05,0,0.2,0.1,0.05,0.2,0.8,0.5,0.2,0.8,0.5,0,5365.77,50,1,0.75,0,-999,99,99,99,99,99,0.73,1,1,1,0,0,1.02,6.023355
12,0.8,0.7,0.05,0,0.3184,0.1,0.05,0.2,0.8,0.5,0.2,0.8,0.5,0,25458.9,50,1,0.75,0,-999,99,99,99,99,99,0.93,1,1,1,0,0,1.02,1.9054375
13,0.8,0.7,0.05,0,0.0367,0.1,0.05,0.2,0.8,0.5,0.2,0.8,0.5,0,23641.6,50,1,0.75,0,0,99,99,99,99,99,0.71,1,1,1,0,0,1.02,2.5339025
14,0.8,0.7,0.05,0,0.0298,0.1,0.05,0.2,0.8,0.5,0.2,0.8,0.5,0,13931.5,50,1,0.75,0,-999,99,99,99,99,99,0.7,1,1,1,0,0,1.02,10
15,0.8,0.7,0.05,0,0,0.1,0.05,0.2,0.8,0.5,0.2,0.8,0.5,0,83147.1,50,1,0.75,0,0,99,99,99,99,99,0.71,1,1,1,0,0,1.02,1.677835
